#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
383832:9947,07/30/24 08:59:00,405,405,0.197862574,0.176920074
383833:9947,07/30/24 11:39:37,173,173,0.084462990,0.077340669
383834:9947,07/30/24 12:49:56,438,438,0.211337941,0.195640061
383854:9951,07/30/24 20:32:22,1088,1088,0.522252922,0.477702432
383855:9951,07/31/24 03:37:50,905,905,0.353678279,0.334599356
383900:9960,07/31/24 15:53:42,29,29,0.007608002,0.007254339
383907:9962,08/01/24 01:35:28,615,615,0.291844995,0.263918743
383908:9962,08/01/24 05:40:03,16,16,0.007796309,0.006825118
383948:9967,08/01/24 21:31:59,882,882,0.415860904,0.381120395
383949:9967,08/02/24 03:17:58,905,905,0.384975341,0.363972113
383996:9969,08/02/24 14:25:58,2192,2192,0.910386584,0.859871549
384014:9970,08/03/24 07:49:48,378,378,0.168047477,0.157862884
384029:9971,08/03/24 12:39:06,445,445,0.200373868,0.187164227
384052:9973,08/04/24 01:26:33,2136,2136,0.893682046,0.838457765
384069:9974,08/04/24 17:15:47,1220,1220,0.566243522,0.512757795
384070:9974,08/05/24 01:14:33,678,678,0.252832404,0.239685194
384124:9978,08/05/24 19:07:55,69,69,0.022908399,0.020280980
384126:9978,08/05/24 19:39:34,20,20,0.009409751,0.006196515
384127:9978,08/05/24 19:50:44,15,15,0.007085763,0.006211409
384128:9978,08/05/24 20:00:38,1613,1613,0.723393946,0.679108523
384187:9982,08/06/24 20:53:18,384,384,0.165075668,0.152179666
384188:9982,08/06/24 23:24:44,255,255,0.120536571,0.112482916
384202:9983,08/07/24 12:18:48,1760,1760,0.778186901,0.732694640
384203:9983,08/07/24 23:45:17,8,8,0.002684476,0.002246752
384204:9983,08/07/24 23:51:26,215,215,0.066824070,0.063085385
384209:9984,08/08/24 07:07:55,783,783,0.361196376,0.335666138
384238:9986,08/08/24 17:13:57,493,493,0.223888574,0.208468324
384239:9986,08/08/24 20:45:15,1321,1321,0.564535287,0.533833280
384244:9986,08/09/24 06:26:50,146,146,0.041740360,0.040442152
384264:9987,08/09/24 11:29:13,969,969,0.448868475,0.416610379
384265:9987,08/09/24 17:49:26,408,408,0.187858205,0.175941561
384290:9989,08/10/24 20:15:12,111,111,0.052207315,0.045198273
384291:9989,08/10/24 21:33:54,1630,1630,0.710115051,0.670338974
384318:9992,08/11/24 12:35:40,33,33,0.006793383,0.006442002
384322:9994,08/11/24 18:20:51,697,697,0.320912994,0.296798061
384323:9994,08/11/24 22:57:34,432,432,0.204234528,0.190735480
384331:9995,08/12/24 03:58:07,590,590,0.270133359,0.249340047
384332:9995,08/12/24 07:49:44,529,529,0.249906901,0.232187507
384377:9996,08/12/24 18:27:38,394,394,0.176983274,0.163017624
384378:9996,08/12/24 21:06:29,168,168,0.079248645,0.072147741
384380:9996,08/12/24 22:50:43,27,27,0.012801734,0.011659190
